epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,98.0422,1.83166,3.46767,1.39677,0.8145,0.66507,0.72997,0.37952,1.56497,2.26162,1.26955,0.00199209,0.000664032,0.00199209,0.000664032,0.00199209,0.000664032,0.00199209,0.000664032
2,174.211,1.66576,2.00792,1.25417,0.85209,0.72249,0.79807,0.44209,1.51593,1.40898,1.24656,0.00391305,0.00130435,0.00391305,0.00130435,0.00391305,0.00130435,0.00391305,0.00130435
3,241.997,1.608,1.56283,1.23804,0.88398,0.74476,0.83718,0.46809,1.49334,1.15159,1.24301,0.00575481,0.00191827,0.00575481,0.00191827,0.00575481,0.00191827,0.00575481,0.00191827
4,306.859,1.58173,1.31551,1.22569,0.85472,0.74799,0.82037,0.44307,1.54437,1.05684,1.24648,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
5,371.823,1.58023,1.19148,1.22736,0.89209,0.78545,0.85738,0.49777,1.42136,0.94986,1.23118,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
6,436.948,1.51951,1.0809,1.20482,0.90826,0.80861,0.87999,0.52316,1.39355,0.89525,1.19477,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
7,501.81,1.51943,1.0518,1.20356,0.90827,0.80543,0.88266,0.51257,1.44363,0.87223,1.21728,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
8,569.751,1.50963,1.02051,1.19454,0.91853,0.81681,0.88427,0.53114,1.38034,0.83724,1.18376,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
9,640.006,1.48696,0.97084,1.17836,0.93173,0.81158,0.89602,0.54972,1.36883,0.80854,1.17529,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
10,705.989,1.47581,0.96072,1.17315,0.91217,0.82344,0.89247,0.53801,1.36854,0.82835,1.17792,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
11,771.953,1.43879,0.94103,1.16493,0.92857,0.81749,0.90318,0.54702,1.34981,0.80493,1.17876,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
12,837.953,1.42284,0.89155,1.14323,0.91588,0.84484,0.91058,0.5694,1.29481,0.7731,1.14888,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
13,903.222,1.40452,0.89149,1.14365,0.93673,0.83117,0.90507,0.55821,1.33237,0.76246,1.16943,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
14,969.114,1.39013,0.87292,1.12981,0.92757,0.83869,0.91207,0.57292,1.33243,0.75365,1.17356,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
15,1035.84,1.38335,0.84953,1.1304,0.93948,0.85304,0.91491,0.56936,1.32338,0.7324,1.15171,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
16,1101.95,1.37944,0.82963,1.1282,0.94622,0.84185,0.91364,0.57676,1.29153,0.73119,1.14159,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
17,1167.87,1.36592,0.83732,1.12958,0.95174,0.84932,0.9201,0.58291,1.28466,0.71366,1.13929,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
18,1232.8,1.34482,0.81167,1.11339,0.93046,0.87423,0.92996,0.59584,1.26861,0.69594,1.12941,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
19,1299.2,1.35677,0.81563,1.11709,0.93422,0.85432,0.91835,0.58858,1.26264,0.7034,1.13802,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
20,1365.09,1.32372,0.79148,1.11176,0.93263,0.87081,0.92713,0.59335,1.26003,0.68602,1.13118,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
21,1430.8,1.32005,0.7756,1.09957,0.92364,0.8674,0.92557,0.59748,1.26454,0.68389,1.12722,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
22,1496.09,1.30449,0.76998,1.10036,0.92325,0.8797,0.92877,0.6121,1.24553,0.65597,1.11822,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
23,1561.86,1.30001,0.76275,1.09284,0.94361,0.8715,0.92979,0.61286,1.22176,0.66127,1.10234,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
24,1626.84,1.29057,0.75626,1.07954,0.95217,0.86945,0.9315,0.60693,1.23635,0.65653,1.11289,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
25,1692.02,1.28618,0.7544,1.08261,0.95674,0.87355,0.93619,0.6062,1.25819,0.6541,1.12717,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
26,1756.87,1.26261,0.73745,1.07723,0.94297,0.87902,0.93933,0.61909,1.23072,0.64238,1.11652,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
27,1822.11,1.26575,0.72663,1.07768,0.9415,0.8911,0.93885,0.62169,1.2055,0.6373,1.10652,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
28,1887.78,1.25253,0.71201,1.06901,0.95377,0.87697,0.94073,0.62533,1.18624,0.62339,1.09697,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
