               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085001,            0.019982,                   0,             0.61478,             0.53888,             0.55569,             0.20777,            0.055961,            0.010644,                   0,            0.070119,           0.0033202,           0.0033202
                   1,            0.059231,            0.014027,                   0,             0.68263,             0.61791,             0.65357,             0.26263,            0.051067,           0.0084664,                   0,            0.039987,           0.0065218,           0.0065218
                   2,            0.054791,            0.012359,                   0,             0.70066,             0.59125,             0.65532,             0.25348,            0.050906,           0.0081889,                   0,           0.0097231,           0.0095913,           0.0095913
                   3,            0.051535,             0.01161,                   0,             0.77368,             0.69515,             0.72474,             0.32004,            0.046083,           0.0074926,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.049019,            0.011197,                   0,             0.86375,             0.74094,             0.80575,             0.38776,            0.042926,           0.0068103,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.046237,            0.010749,                   0,             0.87971,             0.74504,             0.80573,             0.37929,            0.041686,           0.0068083,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.045022,            0.010464,                   0,             0.87048,             0.79563,              0.8539,             0.41868,            0.039478,           0.0064092,                   0,             0.00901,             0.00901,             0.00901
                   7,             0.04357,           0.0099878,                   0,             0.87854,             0.77922,              0.8532,             0.43412,            0.039466,            0.006541,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.042538,            0.010056,                   0,             0.89185,              0.7758,             0.85232,             0.43847,            0.039151,           0.0063504,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.041882,           0.0096545,                   0,             0.90675,             0.79097,              0.8695,             0.46082,            0.037368,           0.0061567,                   0,            0.008416,            0.008416,            0.008416
                  10,             0.04104,            0.009846,                   0,             0.90825,             0.78485,             0.85776,             0.44825,            0.037565,           0.0063895,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.040212,           0.0094863,                   0,             0.90047,             0.77918,             0.85558,             0.45898,            0.037412,           0.0064138,                   0,             0.00802,             0.00802,             0.00802
                  12,             0.03987,           0.0094487,                   0,             0.92417,             0.79289,             0.87419,              0.4727,            0.036459,           0.0060221,                   0,            0.007822,            0.007822,            0.007822
                  13,             0.03952,           0.0093464,                   0,               0.929,             0.79426,             0.86752,             0.45666,            0.037491,           0.0061708,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.038814,           0.0092895,                   0,             0.92029,             0.81955,             0.88096,             0.48381,            0.036247,           0.0059316,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.038754,            0.009065,                   0,              0.9353,             0.82297,             0.89273,             0.49477,            0.035282,            0.005864,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.038134,           0.0091189,                   0,             0.93213,             0.83117,              0.8996,             0.50917,            0.034519,           0.0056876,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.037566,           0.0091088,                   0,             0.92575,             0.83519,             0.89231,             0.49158,             0.03526,           0.0057832,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.036813,           0.0090288,                   0,             0.93952,             0.83049,             0.90201,             0.49768,            0.034937,           0.0055804,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.036928,           0.0086776,                   0,             0.93071,             0.83459,             0.89828,             0.50377,            0.035109,           0.0056557,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.035768,           0.0087946,                   0,             0.93012,             0.83696,             0.90227,             0.51134,            0.034355,           0.0055546,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.036122,           0.0087276,                   0,             0.93904,             0.84235,             0.91121,             0.52686,            0.033725,           0.0054961,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.036027,           0.0086309,                   0,             0.94984,             0.84126,              0.9125,             0.52888,            0.033584,           0.0054551,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.035272,           0.0087855,                   0,             0.92737,             0.84652,              0.9058,             0.52765,            0.033234,           0.0056382,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.035094,           0.0086363,                   0,             0.94592,             0.84074,             0.90547,             0.52373,            0.033775,           0.0055858,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.034864,           0.0086008,                   0,              0.9557,             0.85851,             0.92402,              0.5433,            0.032759,           0.0053233,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.034323,           0.0084233,                   0,             0.93986,             0.86521,             0.92366,             0.54953,            0.032256,            0.005235,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.034477,           0.0083587,                   0,             0.94342,             0.86261,             0.92283,             0.54106,            0.032857,           0.0052891,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.033774,           0.0081942,                   0,             0.94256,             0.88615,             0.92873,             0.55807,            0.031967,            0.005229,                   0,            0.004654,            0.004654,            0.004654
                  29,             0.03366,           0.0082633,                   0,             0.94821,             0.86354,              0.9195,             0.54859,            0.032259,           0.0052573,                   0,            0.004456,            0.004456,            0.004456
                  30,             0.03341,           0.0081635,                   0,             0.94241,             0.87245,             0.92006,             0.56954,            0.031315,           0.0052377,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.033362,           0.0081074,                   0,             0.95325,             0.87491,             0.92843,             0.56398,            0.031059,           0.0051773,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.033215,           0.0079696,                   0,             0.94786,             0.86261,             0.92377,             0.56618,            0.031479,           0.0051897,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.032674,           0.0080556,                   0,             0.96292,             0.86466,              0.9277,             0.57283,             0.03101,           0.0051331,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.032568,           0.0078477,                   0,             0.94269,             0.87701,             0.92679,             0.56426,            0.031463,           0.0051904,                   0,            0.003466,            0.003466,            0.003466
                  35,             0.03236,           0.0079461,                   0,             0.94662,             0.87491,              0.9246,             0.57258,            0.031082,           0.0050717,                   0,            0.003268,            0.003268,            0.003268
                  36,             0.03211,           0.0079295,                   0,             0.94306,             0.88304,             0.93021,             0.57998,            0.030467,           0.0050198,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.031468,           0.0078861,                   0,             0.95705,             0.88335,             0.93432,             0.58412,            0.030435,           0.0049971,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.031416,           0.0079147,                   0,             0.95827,             0.86193,             0.92879,             0.57666,            0.031029,           0.0050404,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.031332,           0.0077383,                   0,             0.94972,             0.87792,               0.933,             0.58437,             0.03036,           0.0050162,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.030753,            0.007613,                   0,             0.96181,             0.87013,             0.93083,             0.58222,            0.030384,           0.0050504,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.030897,           0.0075437,                   0,             0.95173,             0.87423,             0.93343,             0.58843,            0.030103,           0.0050563,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.030408,           0.0075477,                   0,             0.95568,             0.88175,             0.93466,               0.591,            0.030386,           0.0049668,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.030028,           0.0075987,                   0,             0.96613,              0.8715,              0.9373,             0.59251,            0.029914,           0.0049658,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.030186,           0.0074088,                   0,             0.95356,             0.88312,             0.93653,             0.59843,            0.029633,           0.0049053,                   0,            0.001486,            0.001486,            0.001486
